query_pert	rank	candidate	score	score_min	score_max	score_std	metric	n_contexts	n_target_cells
TARGET2	1	TARGET3	0.29688435792922974	0.11640778183937073	0.5330782532691956	0.13889950513839722	cosine	5	1951
TARGET2	2	TARGET2	0.2967756390571594	0.1160520389676094	0.5337983965873718	0.1392682045698166	cosine	5	1951
TARGET2	3	TARGET4	0.2964856028556824	0.11608019471168518	0.5317328572273254	0.13856090605258942	cosine	5	1951
TARGET2	4	TARGET5	0.29613158106803894	0.11510452628135681	0.5332468748092651	0.13938261568546295	cosine	5	1951
TARGET3	1	TARGET4	0.23547498881816864	0.026215264573693275	0.3957154452800751	0.12920884788036346	cosine	5	2017
TARGET3	2	TARGET5	0.23487433791160583	0.024710381403565407	0.3940724730491638	0.12975327670574188	cosine	5	2017
TARGET3	3	TARGET3	0.23411326110363007	0.02432672120630741	0.3952700197696686	0.12997515499591827	cosine	5	2017
TARGET3	4	TARGET2	0.23351721465587616	0.023280508816242218	0.39458221197128296	0.13044235110282898	cosine	5	2017
TARGET4	1	TARGET4	0.23450326919555664	0.03825927898287773	0.46183598041534424	0.13828279078006744	cosine	5	1923
TARGET4	2	TARGET5	0.23397473990917206	0.03689377009868622	0.4642944931983948	0.13953720033168793	cosine	5	1923
TARGET4	3	TARGET3	0.23337654769420624	0.03614665940403938	0.4622287154197693	0.13919596374034882	cosine	5	1923
TARGET4	4	TARGET2	0.2330247163772583	0.035354264080524445	0.4628674387931824	0.13968104124069214	cosine	5	1923
TARGET5	1	TARGET4	0.382587194442749	0.25527554750442505	0.5120137333869934	0.08904650062322617	cosine	5	2032
TARGET5	2	TARGET5	0.38192617893218994	0.254795104265213	0.5112975835800171	0.08916988223791122	cosine	5	2032
TARGET5	3	TARGET3	0.3817739486694336	0.2556127905845642	0.5114064812660217	0.0888763964176178	cosine	5	2032
TARGET5	4	TARGET2	0.38138335943222046	0.25525352358818054	0.511071503162384	0.08896183967590332	cosine	5	2032
